Date,Price,Open,High,Low,Vol.,Change %
2018-08-06,"1,732.90","1,742.97","1,747.43","1,731.32",1.35B,-0.56%
2018-08-07,"1,746.05","1,733.22","1,746.05","1,731.99",1.32B,0.76%
2018-08-08,"1,744.71","1,747.65","1,756.31","1,742.87",1.45B,-0.08%
2018-08-09,"1,740.16","1,739.99","1,743.61","1,732.24",1.31B,-0.26%
2018-08-10,"1,720.16","1,739.41","1,739.41","1,718.47",1.51B,-1.15%
2018-08-13,"1,683.50","1,706.72","1,707.31","1,681.80",1.52B,-2.13%
2018-08-14,"1,710.95","1,693.54","1,711.17","1,692.14",1.21B,1.63%
2018-08-15,"1,698.03","1,713.86","1,714.92","1,690.92",1.24B,-0.76%
2018-08-16,"1,687.15","1,681.09","1,692.52","1,667.95",1.55B,-0.64%
2018-08-17,"1,697.53","1,696.59","1,700.30","1,692.34",1.12B,0.62%
2018-08-20,"1,692.15","1,692.74","1,697.03","1,688.38",983.22M,-0.32%
2018-08-21,"1,685.42","1,686.25","1,693.80","1,679.95",1.07B,-0.40%
2018-08-22,"1,698.37","1,686.61","1,700.80","1,684.14",1.12B,0.77%
2018-08-23,"1,698.22","1,700.54","1,702.71","1,695.57",1.08B,-0.01%
2018-08-24,"1,709.20","1,707.08","1,709.36","1,701.59",983.77M,0.65%
2018-08-27,"1,728.95","1,716.80","1,731.62","1,715.24",1.05B,1.16%
2018-08-28,"1,731.63","1,741.26","1,744.06","1,731.63",1.20B,0.16%
2018-08-29,"1,739.60","1,732.96","1,745.12","1,732.95",1.13B,0.46%
2018-08-30,"1,739.14","1,749.19","1,749.72","1,736.60",1.40B,-0.03%
2018-08-31,"1,735.35","1,728.13","1,739.88","1,726.98",1.30B,-0.22%
2018-09-03,"1,720.31","1,730.77","1,731.86","1,715.99",1.08B,-0.87%
2018-09-04,"1,718.24","1,721.95","1,724.01","1,713.54",1.06B,-0.12%
2018-09-05,"1,704.96","1,713.83","1,714.51","1,701.27",1.23B,-0.77%
2018-09-06,"1,692.41","1,697.16","1,700.04","1,690.01",1.28B,-0.74%
2018-09-07,"1,684.31","1,683.71","1,686.37","1,673.92",1.31B,-0.48%
2018-09-10,"1,687.61","1,680.36","1,692.85","1,679.88",1.12B,0.20%
2018-09-11,"1,698.91","1,690.52","1,700.33","1,689.03",1.34B,0.67%
2018-09-12,"1,691.32","1,701.17","1,702.67","1,683.62",1.46B,-0.45%
2018-09-13,"1,710.02","1,694.87","1,716.42","1,694.38",1.35B,1.11%
2018-09-14,"1,728.61","1,721.68","1,730.27","1,720.70",1.73B,1.09%
2018-09-18,"1,759.88","1,725.88","1,762.80","1,725.64",1.58B,1.81%
2018-09-19,"1,785.66","1,781.86","1,792.61","1,779.03",1.60B,1.46%
2018-09-20,"1,787.60","1,793.56","1,793.83","1,781.04",1.67B,0.11%
2018-09-21,"1,804.02","1,798.77","1,807.67","1,795.31",2.08B,0.92%
2018-09-25,"1,822.44","1,805.71","1,822.44","1,803.76",1.84B,1.02%
2018-09-26,"1,821.67","1,810.65","1,822.04","1,808.31",1.49B,-0.04%
2018-09-27,"1,800.11","1,817.24","1,825.09","1,799.50",1.39B,-1.18%
2018-09-28,"1,817.25","1,817.81","1,828.23","1,811.48",1.56B,0.95%
2018-10-01,"1,817.96","1,814.05","1,823.72","1,809.56",1.21B,0.04%
2018-10-02,"1,824.03","1,829.49","1,838.30","1,821.24",1.47B,0.33%
2018-10-03,"1,802.73","1,820.56","1,824.10","1,802.06",1.46B,-1.17%
2018-10-04,"1,801.19","1,818.27","1,818.81","1,797.87",1.59B,-0.09%
2018-10-05,"1,792.65","1,790.78","1,800.31","1,788.64",1.49B,-0.47%
2018-10-09,"1,761.12","1,777.96","1,779.33","1,757.37",1.57B,-1.76%
2018-10-10,"1,763.86","1,767.89","1,774.45","1,755.33",1.35B,0.16%
2018-10-11,"1,701.86","1,729.81","1,730.41","1,694.76",1.95B,-3.52%
2018-10-12,"1,702.45","1,689.50","1,704.97","1,687.18",1.69B,0.03%
2018-10-15,"1,675.44","1,690.73","1,692.84","1,675.38",1.40B,-1.59%
2018-10-16,"1,687.91","1,675.15","1,688.11","1,672.02",1.26B,0.74%
2018-10-17,"1,713.87","1,708.74","1,717.93","1,705.03",1.29B,1.54%
2018-10-18,"1,704.64","1,718.14","1,718.88","1,702.65",1.23B,-0.54%
2018-10-19,"1,692.85","1,684.15","1,694.89","1,676.68",1.28B,-0.69%
2018-10-22,"1,695.31","1,680.61","1,700.26","1,674.39",1.14B,0.15%
2018-10-23,"1,650.72","1,681.25","1,681.30","1,650.01",1.41B,-2.63%
2018-10-24,"1,652.07","1,661.29","1,662.25","1,638.69",1.42B,0.08%
2018-10-25,"1,600.92","1,622.03","1,624.51","1,597.51",1.64B,-3.10%
2018-10-26,"1,596.01","1,614.98","1,615.44","1,581.56",1.70B,-0.31%
2018-10-29,"1,589.56","1,605.16","1,612.81","1,587.79",1.37B,-0.40%
2018-10-30,"1,611.46","1,584.07","1,618.79","1,584.07",2.21B,1.38%
2018-10-31,"1,646.12","1,622.03","1,646.12","1,617.93",1.81B,2.15%
2018-11-01,"1,632.05","1,647.10","1,647.10","1,628.15",1.78B,-0.85%
2018-11-02,"1,658.76","1,637.99","1,662.66","1,629.75",1.82B,1.64%
